Date,Time,Temp,Humidity,Barometer
02-May-19,10:30 AM,15ʡC,88%,1018 mbar
02-May-19,11:00 AM,17ʡC,77%,1018 mbar
02-May-19,11:30 AM,18ʡC,73%,1017 mbar
02-May-19,12:00 PM,18ʡC,73%,1017 mbar
02-May-19,12:30 PM,18ʡC,73%,1016 mbar
02-May-19,1:00 PM,18ʡC,78%,1016 mbar
02-May-19,1:30 PM,18ʡC,78%,1016 mbar
02-May-19,2:00 PM,19ʡC,73%,1016 mbar
02-May-19,2:30 PM,19ʡC,73%,1015 mbar
02-May-19,3:00 PM,19ʡC,68%,1015 mbar
02-May-19,3:30 PM,20ʡC,60%,1015 mbar
02-May-19,4:00 PM,20ʡC,56%,1015 mbar
02-May-19,4:30 PM,19ʡC,60%,1014 mbar
02-May-19,5:00 PM,19ʡC,52%,1015 mbar
02-May-19,5:30 PM,18ʡC,52%,1015 mbar
02-May-19,6:00 PM,18ʡC,56%,1015 mbar
02-May-19,6:30 PM,17ʡC,68%,1015 mbar
02-May-19,7:00 PM,17ʡC,68%,1015 mbar
02-May-19,7:30 PM,16ʡC,72%,1016 mbar
02-May-19,8:00 PM,16ʡC,72%,1016 mbar
02-May-19,8:30 PM,16ʡC,72%,1016 mbar
02-May-19,9:00 PM,15ʡC,77%,1016 mbar
02-May-19,9:30 PM,15ʡC,72%,1016 mbar
02-May-19,10:00 PM,15ʡC,72%,1016 mbar
02-May-19,10:30 PM,15ʡC,72%,1016 mbar
02-May-19,11:00 PM,15ʡC,72%,1016 mbar
02-May-19,11:30 PM,15ʡC,72%,1016 mbar
03-May-19,12:00 AM,15ʡC,72%,1016 mbar
03-May-19,12:30 AM,15ʡC,72%,1016 mbar
03-May-19,1:00 AM,15ʡC,77%,1016 mbar
03-May-19,1:30 AM,15ʡC,77%,1016 mbar
03-May-19,2:00 AM,14ʡC,82%,1016 mbar
03-May-19,2:30 AM,14ʡC,88%,1016 mbar
03-May-19,3:00 AM,14ʡC,82%,1016 mbar
03-May-19,3:30 AM,13ʡC,88%,1015 mbar
03-May-19,4:00 AM,13ʡC,88%,1016 mbar
03-May-19,4:30 AM,13ʡC,88%,1016 mbar
03-May-19,5:00 AM,12ʡC,94%,1016 mbar
03-May-19,5:30 AM,11ʡC,94%,1016 mbar
03-May-19,6:00 AM,11ʡC,94%,1016 mbar
03-May-19,6:30 AM,10ʡC,94%,1016 mbar
03-May-19,7:00 AM,11ʡC,88%,1016 mbar
03-May-19,7:30 AM,12ʡC,82%,1016 mbar
03-May-19,8:00 AM,13ʡC,77%,1016 mbar
03-May-19,8:30 AM,13ʡC,77%,1017 mbar
03-May-19,9:00 AM,15ʡC,72%,1017 mbar
03-May-19,9:30 AM,16ʡC,68%,1017 mbar
03-May-19,10:00 AM,17ʡC,59%,1016 mbar
03-May-19,10:30 AM,17ʡC,59%,1016 mbar
03-May-19,11:00 AM,19ʡC,43%,1016 mbar
03-May-19,11:30 AM,19ʡC,40%,1016 mbar
03-May-19,12:00 PM,19ʡC,40%,1015 mbar
03-May-19,12:30 PM,19ʡC,37%,1015 mbar
03-May-19,1:00 PM,20ʡC,38%,1014 mbar
03-May-19,1:30 PM,19ʡC,35%,1014 mbar
03-May-19,2:00 PM,20ʡC,33%,1014 mbar
03-May-19,2:30 PM,20ʡC,33%,1014 mbar
03-May-19,3:00 PM,20ʡC,30%,1014 mbar
03-May-19,3:30 PM,20ʡC,33%,1014 mbar
03-May-19,4:00 PM,20ʡC,35%,1014 mbar
03-May-19,4:30 PM,19ʡC,37%,1014 mbar
03-May-19,5:00 PM,18ʡC,37%,1014 mbar
03-May-19,5:30 PM,17ʡC,42%,1014 mbar
03-May-19,6:00 PM,16ʡC,45%,1014 mbar
03-May-19,6:30 PM,16ʡC,45%,1015 mbar
03-May-19,7:00 PM,15ʡC,51%,1015 mbar
03-May-19,7:30 PM,15ʡC,51%,1015 mbar
03-May-19,8:00 PM,15ʡC,51%,1015 mbar
03-May-19,8:30 PM,15ʡC,55%,1015 mbar
03-May-19,9:00 PM,14ʡC,59%,1015 mbar
03-May-19,9:30 PM,15ʡC,55%,1015 mbar
03-May-19,10:00 PM,14ʡC,59%,1016 mbar
03-May-19,10:30 PM,14ʡC,59%,1016 mbar
03-May-19,11:00 PM,15ʡC,55%,1015 mbar
03-May-19,11:30 PM,14ʡC,59%,1015 mbar
04-May-19,12:00 AM,13ʡC,67%,1015 mbar
04-May-19,12:30 AM,13ʡC,67%,1015 mbar
04-May-19,1:00 AM,13ʡC,72%,1015 mbar
04-May-19,1:30 AM,13ʡC,72%,1015 mbar
04-May-19,2:00 AM,13ʡC,72%,1016 mbar
04-May-19,2:30 AM,12ʡC,82%,1016 mbar
04-May-19,3:00 AM,12ʡC,82%,1016 mbar
04-May-19,3:30 AM,13ʡC,77%,1016 mbar
04-May-19,4:00 AM,12ʡC,82%,1016 mbar
04-May-19,4:30 AM,12ʡC,82%,1016 mbar
04-May-19,5:00 AM,12ʡC,82%,1017 mbar
04-May-19,5:30 AM,12ʡC,82%,1017 mbar
04-May-19,6:00 AM,12ʡC,77%,1017 mbar
04-May-19,6:30 AM,12ʡC,77%,1017 mbar
04-May-19,7:00 AM,12ʡC,77%,1018 mbar
04-May-19,7:30 AM,12ʡC,82%,1018 mbar
04-May-19,8:00 AM,12ʡC,77%,1018 mbar
04-May-19,8:30 AM,12ʡC,82%,1019 mbar
04-May-19,9:00 AM,13ʡC,67%,1019 mbar
04-May-19,9:30 AM,14ʡC,63%,1020 mbar
04-May-19,10:00 AM,13ʡC,63%,1020 mbar
04-May-19,10:30 AM,14ʡC,59%,1020 mbar
04-May-19,11:00 AM,15ʡC,51%,1020 mbar
04-May-19,11:30 AM,15ʡC,51%,1020 mbar
04-May-19,12:00 PM,14ʡC,63%,1020 mbar
04-May-19,12:30 PM,15ʡC,59%,1020 mbar
04-May-19,1:00 PM,12ʡC,88%,1020 mbar
04-May-19,1:30 PM,14ʡC,72%,1020 mbar
04-May-19,2:00 PM,15ʡC,63%,1020 mbar
04-May-19,2:30 PM,12ʡC,94%,1020 mbar
04-May-19,3:00 PM,15ʡC,72%,1020 mbar
04-May-19,3:30 PM,15ʡC,63%,1020 mbar
04-May-19,4:00 PM,15ʡC,63%,1021 mbar
04-May-19,4:30 PM,15ʡC,63%,1021 mbar
04-May-19,5:00 PM,14ʡC,67%,1021 mbar
04-May-19,5:30 PM,14ʡC,63%,1022 mbar
04-May-19,6:00 PM,13ʡC,72%,1022 mbar
04-May-19,6:30 PM,13ʡC,77%,1022 mbar
04-May-19,7:00 PM,13ʡC,77%,1023 mbar
04-May-19,7:30 PM,13ʡC,72%,1023 mbar
04-May-19,8:00 PM,12ʡC,77%,1023 mbar
04-May-19,8:30 PM,12ʡC,77%,1023 mbar
04-May-19,9:00 PM,12ʡC,77%,1023 mbar
04-May-19,9:30 PM,12ʡC,77%,1024 mbar
04-May-19,10:00 PM,12ʡC,77%,1024 mbar
04-May-19,10:30 PM,12ʡC,77%,1024 mbar
04-May-19,11:00 PM,12ʡC,72%,1024 mbar
04-May-19,11:30 PM,12ʡC,72%,1024 mbar
05-May-19,12:00 AM,11ʡC,82%,1024 mbar
05-May-19,12:30 AM,12ʡC,72%,1024 mbar
05-May-19,1:00 AM,11ʡC,77%,1024 mbar
05-May-19,1:30 AM,11ʡC,82%,1024 mbar
05-May-19,2:00 AM,11ʡC,82%,1024 mbar
05-May-19,2:30 AM,10ʡC,88%,1024 mbar
05-May-19,3:00 AM,10ʡC,94%,1024 mbar
05-May-19,3:30 AM,10ʡC,94%,1024 mbar
05-May-19,4:00 AM,10ʡC,94%,1024 mbar
05-May-19,4:30 AM,10ʡC,94%,1024 mbar
05-May-19,5:00 AM,10ʡC,94%,1025 mbar
05-May-19,5:30 AM,10ʡC,94%,1024 mbar
05-May-19,6:00 AM,11ʡC,88%,1025 mbar
05-May-19,6:30 AM,11ʡC,88%,1025 mbar
05-May-19,7:00 AM,11ʡC,88%,1025 mbar
05-May-19,7:30 AM,11ʡC,88%,1024 mbar
05-May-19,8:00 AM,11ʡC,88%,1025 mbar
05-May-19,8:30 AM,12ʡC,82%,1025 mbar
05-May-19,9:00 AM,13ʡC,77%,1025 mbar
05-May-19,9:30 AM,13ʡC,77%,1025 mbar
05-May-19,10:00 AM,14ʡC,72%,1025 mbar
05-May-19,11:00 AM,14ʡC,72%,1025 mbar
05-May-19,11:30 AM,14ʡC,77%,1025 mbar
05-May-19,12:00 PM,14ʡC,72%,1025 mbar
05-May-19,12:30 PM,14ʡC,72%,1025 mbar
05-May-19,1:00 PM,16ʡC,63%,1024 mbar
05-May-19,1:30 PM,15ʡC,68%,1024 mbar
05-May-19,2:00 PM,16ʡC,59%,1024 mbar
05-May-19,2:30 PM,15ʡC,68%,1024 mbar
05-May-19,3:00 PM,15ʡC,68%,1024 mbar
05-May-19,3:30 PM,16ʡC,63%,1024 mbar
05-May-19,4:00 PM,15ʡC,68%,1024 mbar
05-May-19,4:30 PM,15ʡC,68%,1024 mbar
05-May-19,5:00 PM,14ʡC,72%,1024 mbar
05-May-19,5:30 PM,14ʡC,72%,1024 mbar
05-May-19,6:00 PM,13ʡC,77%,1024 mbar
05-May-19,6:30 PM,13ʡC,77%,1024 mbar
05-May-19,7:00 PM,12ʡC,82%,1024 mbar
05-May-19,7:30 PM,12ʡC,77%,1025 mbar
05-May-19,8:00 PM,11ʡC,82%,1025 mbar
05-May-19,8:30 PM,11ʡC,82%,1025 mbar
05-May-19,9:00 PM,10ʡC,88%,1024 mbar
05-May-19,9:30 PM,9ʡC,87%,1024 mbar
05-May-19,10:00 PM,9ʡC,87%,1024 mbar
05-May-19,10:30 PM,8ʡC,93%,1024 mbar
05-May-19,11:00 PM,8ʡC,93%,1024 mbar
05-May-19,11:30 PM,10ʡC,88%,1024 mbar
06-May-19,12:00 AM,10ʡC,88%,1024 mbar
06-May-19,12:30 AM,10ʡC,88%,1024 mbar
06-May-19,1:00 AM,10ʡC,94%,1023 mbar
06-May-19,1:30 AM,10ʡC,88%,1023 mbar
06-May-19,2:00 AM,11ʡC,88%,1023 mbar
06-May-19,2:30 AM,11ʡC,88%,1023 mbar
06-May-19,3:00 AM,10ʡC,94%,1023 mbar
06-May-19,3:30 AM,10ʡC,94%,1023 mbar
06-May-19,4:00 AM,11ʡC,88%,1023 mbar
06-May-19,4:30 AM,11ʡC,88%,1022 mbar
06-May-19,5:00 AM,10ʡC,94%,1022 mbar
06-May-19,5:30 AM,9ʡC,94%,1022 mbar
06-May-19,6:30 AM,9ʡC,100%,1023 mbar
06-May-19,7:00 AM,10ʡC,94%,1023 mbar
06-May-19,7:30 AM,10ʡC,94%,1023 mbar
06-May-19,8:00 AM,10ʡC,94%,1023 mbar
06-May-19,8:30 AM,11ʡC,88%,1023 mbar
06-May-19,9:00 AM,12ʡC,82%,1023 mbar
06-May-19,9:30 AM,13ʡC,82%,1023 mbar
06-May-19,10:00 AM,15ʡC,63%,1023 mbar
06-May-19,10:30 AM,15ʡC,63%,1023 mbar
06-May-19,11:00 AM,14ʡC,67%,1023 mbar
06-May-19,11:30 AM,15ʡC,59%,1022 mbar
06-May-19,12:00 PM,15ʡC,59%,1022 mbar
06-May-19,12:30 PM,14ʡC,63%,1021 mbar
06-May-19,1:00 PM,15ʡC,59%,1021 mbar
06-May-19,1:30 PM,15ʡC,59%,1020 mbar
06-May-19,2:00 PM,15ʡC,55%,1020 mbar
06-May-19,2:30 PM,15ʡC,55%,1020 mbar
06-May-19,3:00 PM,15ʡC,51%,1020 mbar
06-May-19,3:30 PM,16ʡC,48%,1019 mbar
06-May-19,4:00 PM,16ʡC,48%,1019 mbar
06-May-19,4:30 PM,15ʡC,51%,1019 mbar
06-May-19,5:00 PM,14ʡC,59%,1019 mbar
06-May-19,5:30 PM,13ʡC,67%,1019 mbar
06-May-19,6:00 PM,12ʡC,72%,1019 mbar
06-May-19,6:30 PM,12ʡC,72%,1019 mbar
06-May-19,7:00 PM,11ʡC,82%,1019 mbar
06-May-19,7:30 PM,11ʡC,82%,1019 mbar
06-May-19,8:00 PM,10ʡC,88%,1019 mbar
06-May-19,8:30 PM,9ʡC,94%,1018 mbar
06-May-19,9:00 PM,8ʡC,93%,1019 mbar
06-May-19,9:30 PM,9ʡC,87%,1018 mbar
06-May-19,10:00 PM,9ʡC,94%,1018 mbar
06-May-19,10:30 PM,7ʡC,100%,1018 mbar
06-May-19,11:00 PM,7ʡC,93%,1018 mbar
06-May-19,11:30 PM,8ʡC,93%,1017 mbar
07-May-19,12:00 AM,9ʡC,94%,1017 mbar
07-May-19,12:30 AM,9ʡC,94%,1017 mbar
07-May-19,1:00 AM,10ʡC,94%,1017 mbar
07-May-19,1:30 AM,9ʡC,94%,1016 mbar
07-May-19,2:00 AM,10ʡC,88%,1016 mbar
07-May-19,2:30 AM,10ʡC,88%,1016 mbar
07-May-19,3:00 AM,8ʡC,100%,1016 mbar
07-May-19,3:30 AM,7ʡC,93%,1015 mbar
07-May-19,4:00 AM,7ʡC,93%,1015 mbar
07-May-19,4:30 AM,7ʡC,93%,1015 mbar
07-May-19,5:00 AM,8ʡC,87%,1014 mbar
07-May-19,5:30 AM,7ʡC,93%,1014 mbar
07-May-19,6:00 AM,7ʡC,87%,1014 mbar
07-May-19,6:30 AM,6ʡC,93%,1014 mbar
07-May-19,7:00 AM,8ʡC,82%,1014 mbar
07-May-19,7:30 AM,8ʡC,82%,1014 mbar
07-May-19,8:00 AM,9ʡC,82%,1014 mbar
07-May-19,8:30 AM,10ʡC,76%,1014 mbar
07-May-19,9:00 AM,11ʡC,77%,1014 mbar
07-May-19,9:30 AM,12ʡC,72%,1013 mbar
07-May-19,10:00 AM,13ʡC,67%,1013 mbar
07-May-19,10:30 AM,13ʡC,67%,1013 mbar
07-May-19,11:00 AM,14ʡC,59%,1013 mbar
07-May-19,11:30 AM,16ʡC,55%,1013 mbar
07-May-19,12:00 PM,17ʡC,49%,1012 mbar
07-May-19,12:30 PM,18ʡC,43%,1011 mbar
07-May-19,1:00 PM,18ʡC,40%,1010 mbar
07-May-19,1:30 PM,19ʡC,37%,1010 mbar
07-May-19,2:00 PM,18ʡC,37%,1009 mbar
07-May-19,2:30 PM,19ʡC,40%,1009 mbar
07-May-19,3:00 PM,18ʡC,40%,1008 mbar
07-May-19,3:30 PM,18ʡC,37%,1008 mbar
07-May-19,4:00 PM,18ʡC,40%,1008 mbar
07-May-19,4:30 PM,17ʡC,42%,1008 mbar
07-May-19,5:00 PM,17ʡC,42%,1008 mbar
07-May-19,5:30 PM,16ʡC,45%,1008 mbar
07-May-19,6:00 PM,16ʡC,48%,1008 mbar
07-May-19,6:30 PM,16ʡC,52%,1007 mbar
07-May-19,7:00 PM,16ʡC,52%,1007 mbar
07-May-19,7:30 PM,15ʡC,55%,1006 mbar
07-May-19,8:00 PM,15ʡC,55%,1007 mbar
07-May-19,8:30 PM,16ʡC,48%,1007 mbar
07-May-19,9:00 PM,15ʡC,55%,1007 mbar
07-May-19,9:30 PM,12ʡC,72%,1008 mbar
07-May-19,10:00 PM,12ʡC,72%,1008 mbar
07-May-19,10:30 PM,11ʡC,77%,1007 mbar
07-May-19,11:00 PM,11ʡC,82%,1007 mbar
07-May-19,11:30 PM,11ʡC,77%,1006 mbar
08-May-19,12:00 AM,11ʡC,82%,1006 mbar
08-May-19,12:30 AM,11ʡC,88%,1006 mbar
08-May-19,1:00 AM,10ʡC,94%,1007 mbar
08-May-19,1:30 AM,10ʡC,94%,1007 mbar
08-May-19,2:00 AM,10ʡC,82%,1007 mbar
08-May-19,2:30 AM,9ʡC,87%,1007 mbar
08-May-19,3:00 AM,9ʡC,94%,1007 mbar
08-May-19,3:30 AM,9ʡC,94%,1007 mbar
08-May-19,4:00 AM,9ʡC,94%,1007 mbar
08-May-19,4:30 AM,10ʡC,82%,1007 mbar
08-May-19,5:00 AM,10ʡC,88%,1008 mbar
08-May-19,5:30 AM,10ʡC,88%,1008 mbar
08-May-19,6:00 AM,10ʡC,88%,1008 mbar
08-May-19,6:30 AM,10ʡC,82%,1009 mbar
08-May-19,7:00 AM,10ʡC,82%,1009 mbar
08-May-19,7:30 AM,11ʡC,77%,1010 mbar
08-May-19,8:00 AM,11ʡC,82%,1011 mbar
08-May-19,8:30 AM,12ʡC,77%,1011 mbar
08-May-19,9:00 AM,12ʡC,82%,1011 mbar
08-May-19,9:30 AM,13ʡC,77%,1012 mbar
08-May-19,10:00 AM,13ʡC,77%,1012 mbar
08-May-19,10:30 AM,13ʡC,77%,1012 mbar
08-May-19,11:00 AM,14ʡC,67%,1012 mbar
08-May-19,11:30 AM,14ʡC,72%,1013 mbar
08-May-19,12:00 PM,15ʡC,63%,1013 mbar
08-May-19,12:30 PM,15ʡC,59%,1013 mbar
08-May-19,1:00 PM,15ʡC,59%,1013 mbar
08-May-19,1:30 PM,16ʡC,55%,1013 mbar
08-May-19,2:00 PM,16ʡC,52%,1013 mbar
08-May-19,2:30 PM,15ʡC,55%,1013 mbar
08-May-19,3:00 PM,15ʡC,51%,1014 mbar
08-May-19,3:30 PM,16ʡC,48%,1014 mbar
08-May-19,4:00 PM,14ʡC,63%,1014 mbar
08-May-19,4:30 PM,14ʡC,59%,1015 mbar
08-May-19,5:00 PM,14ʡC,55%,1015 mbar
08-May-19,5:30 PM,14ʡC,55%,1015 mbar
08-May-19,6:00 PM,13ʡC,59%,1015 mbar
08-May-19,6:30 PM,13ʡC,63%,1016 mbar
08-May-19,7:00 PM,12ʡC,67%,1016 mbar
08-May-19,7:30 PM,12ʡC,67%,1016 mbar
08-May-19,8:00 PM,12ʡC,67%,1016 mbar
08-May-19,8:30 PM,11ʡC,72%,1016 mbar
08-May-19,9:00 PM,11ʡC,67%,1016 mbar
08-May-19,9:30 PM,10ʡC,71%,1016 mbar
08-May-19,10:00 PM,9ʡC,76%,1016 mbar
08-May-19,10:30 PM,8ʡC,82%,1016 mbar
08-May-19,11:00 PM,9ʡC,71%,1016 mbar
08-May-19,11:30 PM,9ʡC,76%,1015 mbar
09-May-19,12:00 AM,8ʡC,82%,1015 mbar
09-May-19,12:30 AM,9ʡC,76%,1015 mbar
09-May-19,1:00 AM,10ʡC,71%,1015 mbar
09-May-19,1:30 AM,10ʡC,71%,1014 mbar
09-May-19,2:00 AM,10ʡC,71%,1014 mbar
09-May-19,2:30 AM,10ʡC,71%,1014 mbar
09-May-19,3:00 AM,10ʡC,76%,1014 mbar
09-May-19,3:30 AM,10ʡC,76%,1014 mbar
09-May-19,4:00 AM,11ʡC,67%,1014 mbar
09-May-19,4:30 AM,11ʡC,67%,1014 mbar
09-May-19,5:00 AM,11ʡC,67%,1013 mbar
09-May-19,5:30 AM,11ʡC,67%,1013 mbar
09-May-19,6:00 AM,11ʡC,67%,1013 mbar
09-May-19,6:30 AM,11ʡC,72%,1013 mbar
09-May-19,7:00 AM,11ʡC,67%,1013 mbar
09-May-19,7:30 AM,11ʡC,72%,1013 mbar
09-May-19,8:00 AM,11ʡC,72%,1013 mbar
09-May-19,8:30 AM,11ʡC,72%,1013 mbar
09-May-19,9:00 AM,12ʡC,67%,1013 mbar
09-May-19,9:30 AM,13ʡC,63%,1012 mbar
09-May-19,10:00 AM,13ʡC,63%,1012 mbar
09-May-19,10:30 AM,12ʡC,63%,1012 mbar
09-May-19,11:00 AM,13ʡC,59%,1012 mbar
09-May-19,11:30 AM,13ʡC,59%,1012 mbar
09-May-19,12:00 PM,14ʡC,55%,1011 mbar
09-May-19,12:30 PM,15ʡC,51%,1010 mbar
09-May-19,1:00 PM,16ʡC,42%,1010 mbar
09-May-19,1:30 PM,16ʡC,42%,1009 mbar
09-May-19,2:00 PM,15ʡC,45%,1009 mbar
09-May-19,2:30 PM,16ʡC,42%,1009 mbar
09-May-19,3:00 PM,15ʡC,45%,1009 mbar
09-May-19,3:30 PM,15ʡC,45%,1008 mbar
09-May-19,4:00 PM,15ʡC,45%,1008 mbar
09-May-19,4:30 PM,15ʡC,45%,1008 mbar
09-May-19,5:00 PM,15ʡC,48%,1008 mbar
09-May-19,5:30 PM,14ʡC,51%,1008 mbar
09-May-19,6:00 PM,14ʡC,51%,1009 mbar
09-May-19,6:30 PM,14ʡC,55%,1009 mbar
09-May-19,7:00 PM,14ʡC,51%,1009 mbar
09-May-19,7:30 PM,14ʡC,51%,1009 mbar
09-May-19,8:00 PM,14ʡC,51%,1009 mbar
09-May-19,8:30 PM,14ʡC,51%,1009 mbar
09-May-19,9:00 PM,15ʡC,45%,1009 mbar
09-May-19,9:30 PM,14ʡC,48%,1009 mbar
09-May-19,10:00 PM,14ʡC,48%,1009 mbar
09-May-19,10:30 PM,14ʡC,51%,1009 mbar
09-May-19,11:00 PM,11ʡC,82%,1009 mbar
09-May-19,11:30 PM,10ʡC,88%,1009 mbar
10-May-19,12:00 AM,9ʡC,94%,1009 mbar
10-May-19,12:30 AM,9ʡC,100%,1009 mbar
10-May-19,1:00 AM,9ʡC,94%,1009 mbar
10-May-19,1:30 AM,9ʡC,100%,1009 mbar
10-May-19,2:00 AM,9ʡC,100%,1009 mbar
10-May-19,2:30 AM,9ʡC,100%,1009 mbar
10-May-19,3:00 AM,9ʡC,100%,1009 mbar
10-May-19,3:30 AM,9ʡC,100%,1009 mbar
10-May-19,4:00 AM,9ʡC,100%,1008 mbar
10-May-19,4:30 AM,9ʡC,100%,1009 mbar
10-May-19,5:00 AM,9ʡC,94%,1009 mbar
10-May-19,5:30 AM,9ʡC,94%,1009 mbar
10-May-19,6:00 AM,9ʡC,94%,1009 mbar
10-May-19,6:30 AM,9ʡC,94%,1009 mbar
10-May-19,7:00 AM,9ʡC,94%,1010 mbar
10-May-19,7:30 AM,9ʡC,94%,1010 mbar
10-May-19,8:00 AM,9ʡC,94%,1011 mbar
10-May-19,8:30 AM,10ʡC,94%,1011 mbar
10-May-19,9:00 AM,10ʡC,94%,1011 mbar
10-May-19,9:30 AM,11ʡC,94%,1012 mbar
10-May-19,10:00 AM,11ʡC,94%,1012 mbar
10-May-19,11:00 AM,13ʡC,82%,1013 mbar
10-May-19,11:30 AM,13ʡC,82%,1013 mbar
10-May-19,12:00 PM,12ʡC,94%,1013 mbar
10-May-19,12:30 PM,12ʡC,88%,1013 mbar
10-May-19,1:00 PM,12ʡC,94%,1013 mbar
10-May-19,1:30 PM,11ʡC,94%,1013 mbar
10-May-19,2:00 PM,12ʡC,88%,1013 mbar
10-May-19,2:30 PM,12ʡC,82%,1013 mbar
10-May-19,3:00 PM,12ʡC,77%,1014 mbar
10-May-19,3:30 PM,12ʡC,77%,1015 mbar
10-May-19,4:00 PM,12ʡC,77%,1015 mbar
10-May-19,4:30 PM,11ʡC,88%,1016 mbar
10-May-19,5:00 PM,11ʡC,82%,1017 mbar
10-May-19,5:30 PM,11ʡC,82%,1017 mbar
10-May-19,6:00 PM,11ʡC,77%,1018 mbar
10-May-19,6:30 PM,11ʡC,72%,1019 mbar
10-May-19,7:00 PM,10ʡC,82%,1019 mbar
10-May-19,7:30 PM,11ʡC,72%,1020 mbar
10-May-19,8:00 PM,10ʡC,76%,1020 mbar
10-May-19,8:30 PM,10ʡC,71%,1021 mbar
10-May-19,9:00 PM,10ʡC,71%,1021 mbar
10-May-19,9:30 PM,10ʡC,71%,1021 mbar
10-May-19,10:00 PM,9ʡC,76%,1022 mbar
10-May-19,10:30 PM,10ʡC,67%,1022 mbar
10-May-19,11:00 PM,10ʡC,67%,1022 mbar
10-May-19,11:30 PM,10ʡC,62%,1023 mbar
11-May-19,12:00 AM,9ʡC,66%,1023 mbar
11-May-19,12:30 AM,9ʡC,66%,1023 mbar
11-May-19,1:00 AM,9ʡC,66%,1023 mbar
11-May-19,1:30 AM,9ʡC,71%,1023 mbar
11-May-19,2:00 AM,9ʡC,71%,1023 mbar
11-May-19,2:30 AM,9ʡC,76%,1023 mbar
11-May-19,3:00 AM,9ʡC,76%,1023 mbar
11-May-19,3:30 AM,9ʡC,76%,1023 mbar
11-May-19,4:00 AM,8ʡC,82%,1023 mbar
11-May-19,4:30 AM,9ʡC,76%,1023 mbar
11-May-19,5:00 AM,9ʡC,76%,1023 mbar
11-May-19,5:30 AM,9ʡC,76%,1024 mbar
11-May-19,6:00 AM,9ʡC,82%,1024 mbar
11-May-19,6:30 AM,9ʡC,82%,1024 mbar
11-May-19,7:00 AM,9ʡC,82%,1024 mbar
11-May-19,7:30 AM,9ʡC,82%,1024 mbar
11-May-19,8:00 AM,10ʡC,82%,1025 mbar
11-May-19,8:30 AM,11ʡC,82%,1025 mbar
11-May-19,9:00 AM,11ʡC,82%,1025 mbar
11-May-19,9:30 AM,12ʡC,77%,1025 mbar
11-May-19,10:00 AM,13ʡC,72%,1025 mbar
